Datetime,Open,High,Low,Close,Volume,ADX,DI_positive,DI_negative,SMA_10,SMA_50,ROC,SMA,RSI,MACD_line,Signal_line,MACD_hist,K,D,OBV,Sideways,Uptrend,Downtrend
2024-12-04 00:00:00+00:00,95936.109375,96052.0703125,95672.2734375,95804.5625,0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0,1,0,0
2024-12-07 01:00:00+00:00,100417.2890625,100559.6953125,100033.0859375,100146.1953125,0,20.225031917592638,22.295452081274743,24.75498689624912,100622.34921875,100083.95453125,0.9354553744510493,100622.34921875,62.61231360562199,395.9314156197797,304.317014376543,91.61440124323673,56.56419471173342,57.06805370570958,36918804480,0,1,0
2024-12-07 02:00:00+00:00,100167.1953125,100275.2421875,100043.6640625,100088.21875,0,19.1537755566465,21.848872472925787,24.259142617671106,100716.91796875,100117.52875,0.9538666080809795,100716.91796875,65.96022427495876,360.0799550971278,315.46960312200633,44.61035197512149,55.226718524432684,58.51703129909351,36918804480,1,0,0
2024-12-07 03:00:00+00:00,100088.328125,100088.328125,99450.8515625,99450.8515625,0,18.883040586700826,20.624223602296386,28.111771353240044,100576.103125,100140.81109375,-1.3961554620807266,100576.103125,55.226476425515244,277.17903758006287,307.81148968327796,-30.632452103215087,26.098971233042363,45.963294823069496,36918804480,1,0,0
2024-12-07 04:00:00+00:00,99435.453125,99776.9296875,99301.7578125,99701.328125,0,18.801836419203976,19.736214139626245,28.25235265889297,100385.39140625,100107.56625,-1.8769278298025331,100385.39140625,51.466794577167505,229.00179139949614,292.049549482597,-63.04775808310086,26.961243350574854,36.09564436934997,36918804480,1,0,0
2024-12-07 05:00:00+00:00,99639.53125,99717.8671875,99142.0859375,99257.5703125,0,18.911195858091922,18.686297729712624,28.224636284871696,100150.69921875,100030.916875,-2.309860346203012,100150.69921875,50.2948879099455,153.3283629915677,264.30531141845637,-110.97694842688867,10.978054931680449,21.346089838432558,36918804480,1,0,0
2024-12-07 06:00:00+00:00,99271.8515625,99501.5234375,99238.9609375,99451.75,0,19.01274390848787,18.2105531201858,27.506049930174388,99964.59453125,99953.97375,-1.836931693136618,99964.59453125,52.26741001968373,107.75097986654146,232.9944444165545,-125.24346455001304,14.112507452505735,17.350601911587013,36918804480,0,0,1
2024-12-07 07:00:00+00:00,99458.0546875,99605.203125,99228.3359375,99573.953125,0,18.908194110949008,18.562703484171507,26.46455878725141,99867.13828125,99895.55796875,-0.9692460340584963,99867.13828125,37.701723849172176,80.54401521333784,202.504358037198,-121.96034282386015,14.959272589505588,13.349944991230592,36918804480,0,0,1
2024-12-07 08:00:00+00:00,99532.890625,99683.3984375,99405.125,99581.1484375,0,18.656253583473852,18.841473070649435,25.691029137114324,99760.89296875,99847.77484375,-1.0556588879027875,99760.89296875,27.38527664677339,58.88331677715178,173.78014937917848,-114.8968326020267,15.208508104889995,14.760096048967107,36918804480,0,0,1
2024-12-07 09:00:00+00:00,99554.015625,99912.625,99554.015625,99775.015625,0,17.968846461927573,20.598817246894697,24.689509788548662,99748.415625,99796.12671875,-0.12489859955754098,99748.415625,30.421529102714388,56.68093068727467,150.3603053759703,-93.67937468869565,21.923795091061617,17.363858595152397,36918804480,0,0,1
2024-12-07 10:00:00+00:00,99787.0703125,99787.0703125,99539.59375,99632.28125,0,17.354673235171635,20.018836218043813,24.158432400878652,99665.83125,99729.42453125,-0.8220776069631003,99665.83125,31.423389812943668,42.94092483729764,128.87642907388712,-85.93550423658948,20.319437292943817,19.15058016296514,36918804480,0,0,1
2024-12-07 11:00:00+00:00,99630.7109375,99798.140625,99524.953125,99749.3828125,0,16.81054923860748,19.370466077165048,23.54956232460893,99626.15,99670.856875,-0.39623322559760876,99626.15,39.691331523327506,41.01461692157318,111.30406651625304,-70.28944959467987,36.485928317969325,26.24305356732492,36918804480,0,0,1
2024-12-07 12:00:00+00:00,99729.9296875,99786.2578125,99495.328125,99495.328125,0,16.361613221163093,18.67672593384543,23.07084337828716,99566.8609375,99613.45359375,-0.5923680453150236,99566.8609375,35.7710574873325,18.79860288236523,92.80297368236148,-74.00437079999625,22.620054130042174,26.47513991365177,36918804480,0,1,0
2024-12-07 13:00:00+00:00,99521.75,99598.5703125,99426.6015625,99465.40625,0,16.08124699168399,18.260418974913755,23.447406904886105,99568.31640625,99548.89203125,0.014635055679591733,99568.31640625,43.46026003232173,-1.205064540321473,74.0013659507418,-75.20643049106327,22.807433288877622,27.304471912296368,36918804480,1,0,0
2024-12-07 14:00:00+00:00,99487.1796875,99803.671875,99188.0546875,99601.53125,0,16.28333180087066,16.815423094036003,24.658280589260535,99558.33671875,99478.73921875,-0.10009583310152119,99558.33671875,35.22549035460763,-6.016979269188596,57.997696847456574,-64.01467611664518,32.409866963527946,25.945784794149244,36918804480,0,1,0
